Varsta 22
Ocupatie Inginer
Mana stangaci
Foloseste stanga

=== SESSION START: 2025-06-14 13:15:38 ===
[2025-06-14 13:19:48.618] UART: {'type': 'key', 'key': 'pressed', 'value': 49}
[2025-06-14 13:19:48.641] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-14 13:19:50.437] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-14 13:19:50.494] UART: {'type': 'proxy', 'key': 'distance', 'value': 87}
[2025-06-14 13:19:53.452] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-14 13:19:53.462] UART: {'type': 'proxy', 'key': 'distance', 'value': 96}
[2025-06-14 13:20:01.795] UART: {'type': 'volume', 'key': '2', 'value': 368}
[2025-06-14 13:20:01.805] UART: {'type': 'proxy', 'key': 'distance', 'value': 62}
[2025-06-14 13:20:01.810] UART: {'type': 'volume', 'key': '2', 'value': 590}
[2025-06-14 13:20:01.823] UART: {'type': 'proxy', 'key': 'distance', 'value': 60}
[2025-06-14 13:20:01.923] UART: {'type': 'volume', 'key': '2', 'value': 770}
[2025-06-14 13:20:01.959] UART: {'type': 'proxy', 'key': 'distance', 'value': 60}
[2025-06-14 13:20:02.071] UART: {'type': 'volume', 'key': '2', 'value': 877}
[2025-06-14 13:20:02.107] UART: {'type': 'proxy', 'key': 'distance', 'value': 59}
[2025-06-14 13:20:02.603] UART: {'type': 'volume', 'key': '2', 'value': 975}
[2025-06-14 13:20:02.650] UART: {'type': 'proxy', 'key': 'distance', 'value': 66}
[2025-06-14 13:20:02.759] UART: {'type': 'volume', 'key': '2', 'value': 1386}
[2025-06-14 13:20:02.788] UART: {'type': 'proxy', 'key': 'distance', 'value': 64}
[2025-06-14 13:20:02.891] UART: {'type': 'volume', 'key': '2', 'value': 1767}
[2025-06-14 13:20:02.933] UART: {'type': 'proxy', 'key': 'distance', 'value': 59}
[2025-06-14 13:20:03.035] UART: {'type': 'volume', 'key': '2', 'value': 2047}
[2025-06-14 13:20:03.075] UART: {'type': 'proxy', 'key': 'distance', 'value': 56}
[2025-06-14 13:20:03.183] UART: {'type': 'volume', 'key': '2', 'value': 2396}
[2025-06-14 13:20:03.225] UART: {'type': 'proxy', 'key': 'distance', 'value': 56}
[2025-06-14 13:20:03.329] UART: {'type': 'volume', 'key': '2', 'value': 2674}
[2025-06-14 13:20:03.365] UART: {'type': 'proxy', 'key': 'distance', 'value': 56}
[2025-06-14 13:20:03.871] UART: {'type': 'volume', 'key': '2', 'value': 2878}
[2025-06-14 13:20:03.913] UART: {'type': 'proxy', 'key': 'distance', 'value': 63}
[2025-06-14 13:20:04.011] UART: {'type': 'volume', 'key': '2', 'value': 3325}
[2025-06-14 13:20:04.057] UART: {'type': 'proxy', 'key': 'distance', 'value': 57}
[2025-06-14 13:20:04.160] UART: {'type': 'volume', 'key': '2', 'value': 3827}
[2025-06-14 13:20:04.200] UART: {'type': 'proxy', 'key': 'distance', 'value': 60}
[2025-06-14 13:20:04.301] UART: {'type': 'volume', 'key': '2', 'value': 4095}
[2025-06-14 13:20:04.343] UART: {'type': 'proxy', 'key': 'distance', 'value': 60}
[2025-06-14 13:20:05.449] UART: {'type': 'volume', 'key': '2', 'value': 3525}
[2025-06-14 13:20:05.484] UART: {'type': 'proxy', 'key': 'distance', 'value': 63}
[2025-06-14 13:20:05.593] UART: {'type': 'volume', 'key': '2', 'value': 3133}
[2025-06-14 13:20:05.629] UART: {'type': 'proxy', 'key': 'distance', 'value': 67}
[2025-06-14 13:20:05.841] UART: {'type': 'volume', 'key': '2', 'value': 3058}
[2025-06-14 13:20:05.873] UART: {'type': 'proxy', 'key': 'distance', 'value': 66}
[2025-06-14 13:20:05.980] UART: {'type': 'volume', 'key': '2', 'value': 2704}
[2025-06-14 13:20:06.020] UART: {'type': 'proxy', 'key': 'distance', 'value': 64}
[2025-06-14 13:20:06.133] UART: {'type': 'volume', 'key': '2', 'value': 2359}
[2025-06-14 13:20:06.175] UART: {'type': 'proxy', 'key': 'distance', 'value': 67}
[2025-06-14 13:20:06.479] UART: {'type': 'volume', 'key': '2', 'value': 2297}
[2025-06-14 13:20:06.510] UART: {'type': 'proxy', 'key': 'distance', 'value': 63}
[2025-06-14 13:20:06.606] UART: {'type': 'volume', 'key': '2', 'value': 2169}
[2025-06-14 13:20:06.649] UART: {'type': 'proxy', 'key': 'distance', 'value': 65}
[2025-06-14 13:20:06.749] UART: {'type': 'volume', 'key': '2', 'value': 2022}
[2025-06-14 13:20:06.803] UART: {'type': 'proxy', 'key': 'distance', 'value': 63}
[2025-06-14 13:20:06.898] UART: {'type': 'volume', 'key': '2', 'value': 1887}
[2025-06-14 13:20:06.938] UART: {'type': 'proxy', 'key': 'distance', 'value': 64}
[2025-06-14 13:20:07.138] UART: {'type': 'volume', 'key': '2', 'value': 1799}
[2025-06-14 13:20:07.183] UART: {'type': 'proxy', 'key': 'distance', 'value': 66}
[2025-06-14 13:21:09.383] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-14 13:21:09.393] UART: {'type': 'proxy', 'key': 'distance', 'value': 34}
