
=== SESSION START: 2025-06-12 22:25:36 ===
[2025-06-12 22:36:12.428] UART: {'type': 'volume', 'key': '1', 'value': 3390}
[2025-06-12 22:36:12.471] UART: {'type': 'proxy', 'key': 'distance', 'value': 24}
[2025-06-12 22:36:12.668] UART: {'type': 'volume', 'key': '1', 'value': 3489}
[2025-06-12 22:36:12.710] UART: {'type': 'proxy', 'key': 'distance', 'value': 24}
[2025-06-12 22:36:12.817] UART: {'type': 'volume', 'key': '1', 'value': 3630}
[2025-06-12 22:36:12.857] UART: {'type': 'proxy', 'key': 'distance', 'value': 21}
[2025-06-12 22:36:12.958] UART: {'type': 'volume', 'key': '1', 'value': 3701}
[2025-06-12 22:36:12.998] UART: {'type': 'proxy', 'key': 'distance', 'value': 24}
[2025-06-12 22:39:37.032] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 22:39:37.044] UART: {'type': 'proxy', 'key': 'distance', 'value': 48}
[2025-06-12 22:41:27.533] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-12 22:41:27.544] UART: {'type': 'proxy', 'key': 'distance', 'value': 51}
[2025-06-12 22:41:30.962] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 22:41:30.972] UART: {'type': 'proxy', 'key': 'distance', 'value': 57}
[2025-06-12 22:41:36.519] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 22:41:36.531] UART: {'type': 'proxy', 'key': 'distance', 'value': 54}
[2025-06-12 22:41:39.384] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 22:41:39.423] UART: {'type': 'proxy', 'key': 'distance', 'value': 53}
[2025-06-12 22:41:45.037] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
[2025-06-12 22:41:45.047] UART: {'type': 'proxy', 'key': 'distance', 'value': 54}
[2025-06-12 22:58:10.048] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-12 22:58:10.060] UART: {'type': 'proxy', 'key': 'distance', 'value': 56}
[2025-06-12 22:59:05.544] UART: {'type': 'key', 'key': 'pressed', 'value': 51}
[2025-06-12 22:59:05.553] UART: {'type': 'proxy', 'key': 'distance', 'value': 51}
[2025-06-12 22:59:12.626] UART: {'type': 'key', 'key': 'pressed', 'value': 50}
