Varsta 23
Ocupatie Student
Mana dreptaci
Foloseste dreapta

=== SESSION START: 2025-06-13 19:22:39 ===
[2025-06-13 19:23:31.012] UART: {'type': 'volume', 'key': '0', 'value': 2012}
[2025-06-13 19:23:31.053] UART: {'type': 'proxy', 'key': 'distance', 'value': 41}
[2025-06-13 19:23:31.665] UART: {'type': 'volume', 'key': '0', 'value': 2064}
[2025-06-13 19:23:31.702] UART: {'type': 'proxy', 'key': 'distance', 'value': 42}
[2025-06-13 19:23:32.396] UART: {'type': 'volume', 'key': '0', 'value': 2117}
[2025-06-13 19:23:32.449] UART: {'type': 'proxy', 'key': 'distance', 'value': 38}
[2025-06-13 19:23:35.268] UART: {'type': 'volume', 'key': '1', 'value': 93}
[2025-06-13 19:23:35.370] UART: {'type': 'proxy', 'key': 'distance', 'value': 27}
[2025-06-13 19:23:35.427] UART: {'type': 'volume', 'key': '1', 'value': 146}
[2025-06-13 19:23:35.491] UART: {'type': 'proxy', 'key': 'distance', 'value': 27}
[2025-06-13 19:23:35.937] UART: {'type': 'volume', 'key': '1', 'value': 202}
[2025-06-13 19:23:35.976] UART: {'type': 'proxy', 'key': 'distance', 'value': 25}
[2025-06-13 19:23:46.042] UART: {'type': 'volume', 'key': '0', 'value': 2169}
[2025-06-13 19:23:46.046] UART: {'type': 'proxy', 'key': 'distance', 'value': 62}
[2025-06-13 19:23:46.828] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-13 19:23:46.847] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 19:23:53.649] UART: {'type': 'key', 'key': 'pressed', 'value': 53}
[2025-06-13 19:23:53.655] UART: {'type': 'proxy', 'key': 'distance', 'value': 44}
[2025-06-13 19:23:54.497] UART: {'type': 'key', 'key': 'pressed', 'value': 53}
[2025-06-13 19:23:54.536] UART: {'type': 'proxy', 'key': 'distance', 'value': 81}
[2025-06-13 19:23:56.924] UART: {'type': 'key', 'key': 'pressed', 'value': 52}
[2025-06-13 19:23:56.932] UART: {'type': 'proxy', 'key': 'distance', 'value': 76}
[2025-06-13 19:24:01.060] UART: {'type': 'volume', 'key': '1', 'value': 279}
[2025-06-13 19:24:01.083] UART: {'type': 'proxy', 'key': 'distance', 'value': 36}
[2025-06-13 19:24:01.324] UART: {'type': 'volume', 'key': '1', 'value': 342}
[2025-06-13 19:24:01.374] UART: {'type': 'proxy', 'key': 'distance', 'value': 34}
[2025-06-13 19:24:01.663] UART: {'type': 'volume', 'key': '1', 'value': 400}
[2025-06-13 19:24:01.712] UART: {'type': 'proxy', 'key': 'distance', 'value': 35}
[2025-06-13 19:24:02.218] UART: {'type': 'volume', 'key': '1', 'value': 464}
[2025-06-13 19:24:02.255] UART: {'type': 'proxy', 'key': 'distance', 'value': 32}
[2025-06-13 19:24:02.854] UART: {'type': 'volume', 'key': '2', 'value': 3527}
[2025-06-13 19:24:02.896] UART: {'type': 'proxy', 'key': 'distance', 'value': 70}
[2025-06-13 19:24:03.111] UART: {'type': 'volume', 'key': '2', 'value': 3579}
[2025-06-13 19:24:03.146] UART: {'type': 'proxy', 'key': 'distance', 'value': 68}
[2025-06-13 19:24:03.352] UART: {'type': 'volume', 'key': '2', 'value': 3436}
[2025-06-13 19:24:03.385] UART: {'type': 'proxy', 'key': 'distance', 'value': 78}
[2025-06-13 19:24:03.494] UART: {'type': 'volume', 'key': '2', 'value': 3088}
[2025-06-13 19:24:03.534] UART: {'type': 'proxy', 'key': 'distance', 'value': 73}
[2025-06-13 19:24:03.636] UART: {'type': 'volume', 'key': '2', 'value': 2989}
[2025-06-13 19:24:03.674] UART: {'type': 'proxy', 'key': 'distance', 'value': 79}
[2025-06-13 19:24:03.981] UART: {'type': 'volume', 'key': '2', 'value': 2937}
[2025-06-13 19:24:04.017] UART: {'type': 'proxy', 'key': 'distance', 'value': 60}
[2025-06-13 19:24:04.127] UART: {'type': 'volume', 'key': '2', 'value': 2416}
[2025-06-13 19:24:04.164] UART: {'type': 'proxy', 'key': 'distance', 'value': 3}
[2025-06-13 19:24:04.267] UART: {'type': 'volume', 'key': '2', 'value': 2129}
[2025-06-13 19:24:04.283] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 19:24:04.501] UART: {'type': 'volume', 'key': '2', 'value': 1841}
[2025-06-13 19:24:04.547] UART: {'type': 'proxy', 'key': 'distance', 'value': 0}
[2025-06-13 19:24:04.635] UART: {'type': 'volume', 'key': '2', 'value': 1603}
[2025-06-13 19:24:04.662] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 19:24:04.863] UART: {'type': 'volume', 'key': '2', 'value': 1389}
[2025-06-13 19:24:04.885] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 19:24:04.994] UART: {'type': 'volume', 'key': '2', 'value': 1203}
[2025-06-13 19:24:05.032] UART: {'type': 'proxy', 'key': 'distance', 'value': 0}
[2025-06-13 19:24:05.242] UART: {'type': 'volume', 'key': '2', 'value': 946}
[2025-06-13 19:24:05.258] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 19:24:05.367] UART: {'type': 'volume', 'key': '2', 'value': 791}
[2025-06-13 19:24:05.386] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
