Varsta 22
Ocupatie Student
Mana dreptaci
Foloseste dreapta

=== SESSION START: 2025-06-13 19:42:00 ===
[2025-06-13 20:04:56.943] UART: {'type': 'volume', 'key': '0', 'value': 1923}
[2025-06-13 20:04:56.963] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:04:57.081] UART: {'type': 'volume', 'key': '0', 'value': 1982}
[2025-06-13 20:04:57.163] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:04:57.211] UART: {'type': 'volume', 'key': '0', 'value': 2086}
[2025-06-13 20:04:57.263] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:04:57.338] UART: {'type': 'volume', 'key': '0', 'value': 2213}
[2025-06-13 20:04:57.353] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:04:57.449] UART: {'type': 'volume', 'key': '0', 'value': 2288}
[2025-06-13 20:04:57.469] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:04:57.877] UART: {'type': 'volume', 'key': '0', 'value': 2641}
[2025-06-13 20:04:57.896] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:04:57.999] UART: {'type': 'volume', 'key': '0', 'value': 3041}
[2025-06-13 20:04:58.027] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:04:58.125] UART: {'type': 'volume', 'key': '0', 'value': 3427}
[2025-06-13 20:04:58.153] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:04:58.355] UART: {'type': 'volume', 'key': '0', 'value': 2820}
[2025-06-13 20:04:58.378] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:04:58.486] UART: {'type': 'volume', 'key': '0', 'value': 2270}
[2025-06-13 20:04:58.504] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:04:58.610] UART: {'type': 'volume', 'key': '0', 'value': 1696}
[2025-06-13 20:04:58.631] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:04:58.738] UART: {'type': 'volume', 'key': '0', 'value': 1626}
[2025-06-13 20:04:58.758] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:04:58.865] UART: {'type': 'volume', 'key': '0', 'value': 2182}
[2025-06-13 20:04:58.889] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:04:58.990] UART: {'type': 'volume', 'key': '0', 'value': 2676}
[2025-06-13 20:04:59.017] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:04:59.123] UART: {'type': 'volume', 'key': '0', 'value': 2301}
[2025-06-13 20:04:59.142] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:04:59.244] UART: {'type': 'volume', 'key': '0', 'value': 1755}
[2025-06-13 20:04:59.267] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:04:59.371] UART: {'type': 'volume', 'key': '0', 'value': 1614}
[2025-06-13 20:04:59.398] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:04:59.502] UART: {'type': 'volume', 'key': '0', 'value': 1830}
[2025-06-13 20:04:59.532] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:04:59.630] UART: {'type': 'volume', 'key': '0', 'value': 2407}
[2025-06-13 20:04:59.647] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:04:59.753] UART: {'type': 'volume', 'key': '0', 'value': 2548}
[2025-06-13 20:04:59.773] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:04:59.879] UART: {'type': 'volume', 'key': '0', 'value': 1851}
[2025-06-13 20:04:59.904] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:00.007] UART: {'type': 'volume', 'key': '0', 'value': 1589}
[2025-06-13 20:05:00.033] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:00.537] UART: {'type': 'volume', 'key': '1', 'value': 239}
[2025-06-13 20:05:00.569] UART: {'type': 'proxy', 'key': 'distance', 'value': 8190}
[2025-06-13 20:05:00.670] UART: {'type': 'volume', 'key': '1', 'value': 561}
